,mu,variance,a,b
MTFR1L,94.8716249328689,405.713900714909,22.184660672318444,0.23383873405790503
AUNIP,65.5224101892275,259.262299746231,16.559238428447195,0.25272633257269417
PAQR7,5.145094475455659,2.1313494522526595,12.420298854974552,2.414007928177954
STMN1,35.6224935127433,64.7334206995049,19.60288874515083,0.5502952435976514
PAFAH2,13.787938130444399,23.955393534719096,7.935884568685371,0.575567172814808
EXTL1,28.312469851804195,48.680336426857686,16.46652443155813,0.5815997162292365
SLC30A2,0.805513967075468,0.0001,6488.52751153658,8055.139670754679
TRIM63,0.001,0.024161230231806496,4.138862096035047e-05,0.041388620960350474
PDIK1L,88.28024509977828,316.9259850124399,24.590604883884872,0.2785516154388954
FAM110D,8.8905609564124,13.782674130808099,5.7348866678204065,0.6450534106831657
ZNF593,25.127544215834295,39.2374913199425,16.091586313975206,0.640396298808818
CNKSR1,0.001,0.310874801998051,3.216729029090847e-06,0.003216729029090847
CATSPER4,0.0212943805771612,0.008751628075025598,0.05181329008473132,2.4331907611486234
CEP85,43.896187140914,106.459491348744,18.099609730409227,0.41232760540924646
SH3BGRL3,67.7531577377916,290.415192567764,15.80664683157355,0.23329756662775974
UBXN11,43.4208532375022,200.85494724030903,9.386726698929603,0.2161801530611649
CD52,14.762351594331403,44.489008050476905,4.898446473506455,0.3318202010164431
AIM1L,24.249523808680397,29.808002481597796,19.727568303538227,0.8135239462507101
ZNF683,0.0009999999999999998,9.999999999999999e-05,0.009999999999999998,10.0
LIN28A,0.0009999999999999998,0.08236292675197458,1.2141384958445828e-05,0.01214138495844583
DHDDS,26.5037448428189,54.921181502320096,12.790119794920564,0.48257783459555165
HMGN2,77.78437574598179,253.89158936116397,23.830679564517983,0.3063684619947475
RPS6KA1,121.87166050946,824.1214060556409,18.022467959448058,0.14788071225179628
ARID1A,305.904320166552,3179.57834221574,29.430774469091837,0.09620908411188185
PIGV,74.627714188275,235.72280424501804,23.626461354913936,0.3165909824774717
ZDHHC18,116.298893681512,966.127530670853,13.999634874447613,0.12037633748078493
SFN,22.2518951925535,38.8452640528238,12.746646257496392,0.5728341854567965
GPN2,54.21652618128871,114.60943978233101,25.647378756488145,0.4730546304410704
GPATCH3,43.35812987162489,143.59240547381796,13.092109013435733,0.3019528068253626
NR0B2,2.33051637158406,0.0001,54313.065582213334,23305.1637158406
NUDC,36.0210845513518,63.1239231732287,20.555099667916743,0.5706407767543288
C1orf172,8.20305155685654,17.4954900587879,3.8461371826876625,0.46886663530389
TRNP1,17.196417524035898,26.170349165694194,11.299687818021695,0.6570954562034689
FAM46B,7.36997456409802,6.296597167345809,8.626330005218948,1.1704694405922538
SLC9A1,67.8531158446291,291.015972727569,15.820593236422374,0.23315942148697436
WDTC1,72.9893007923719,255.96949699270397,20.812784697979822,0.28514843233235854
TMEM222,39.054210334208,81.9162151185989,18.61940694672377,0.47675799324547685
SYTL1,61.7351076676757,289.10903134072504,13.182651199325047,0.21353572865359138
MAP3K6,37.0390464149198,98.1724987033199,13.974289922806967,0.37728535897668103
FCN3,0.0819078975480687,0.15449550096915102,0.04342458931593434,0.5301636425284884
CD164L2,0.001,0.0045460400266973,0.00021997166635739026,0.21997166635739027
GPR3,3.9254750818789805,0.00010000000000000002,154093.54618452786,39254.7508187898
WASF2,114.722984717316,649.8602752997081,20.252604633172343,0.1765348476861539
